Rk;Player;Pos;Age;Tm;G;GS;MP;FG;FGA;FG%;3P;3PA;3P%;2P;2PA;2P%;eFG%;FT;FTA;FT%;ORB;DRB;TRB;AST;STL;BLK;TOV;PF;PTS
126;Jordan McLaughlin;PG;27;MIN;6;0;5;0.3;01.;0.222;0;0.8;0;0.3;0.7;0.5;0.222;0;0.3;0;0;0.7;0.7;0.3;0;0;0.3;0.2;0.7
127;De'Anthony Melton;SG;25;PHI;1;0;7;0;2;0;0;2;0;0;0;0;0;0;0;0;0;1;1;1;0;0;0;1;0
128;Sam Merrill;SG;27;CLE;10;0;12.;1;02.;0.345;1;02.;0.37;0;0.2;0;0.517;0.3;0.3;1;0.2;1;01.;0.9;0;0;0;0.9;03.
129;Khris Middleton;SF;32;MIL;6;6;38.3;09.;19;0.482;01.;05.;0.355;07.;13.;0.53;0.531;04.;5;0.9;2;07.;09.;04.;0.5;0.2;02.;04.;24.
130;Leonard Miller;SF;20;MIN;3;0;02.;0;0.3;0;0;0.3;0;0;0;0;0;0;0;0;0.3;1;01.;0;0;0;0;0;0
131;Patty Mills;PG;35;MIA;3;0;17.;2;05.;0.353;1;03.;0.273;1;2;0.5;0.441;1;01.;0.75;0.3;0;0.3;1;0.3;0;0.3;0.7;6
132;Shake Milton;SG;27;NYK;4;0;05.;0;01.;0;0;0.5;0;0;1;0;0;01.;01.;0.833;0;0.3;0.3;0.5;0.3;0;0;0;01.
133;Josh Minott;SF;21;MIN;5;0;03.;0.4;01.;0.222;0.4;1;0.4;0;0.8;0;0.333;0;0;0;0.2;0.8;1;0.6;0;0;0;0.4;01.
134;Donovan Mitchell;SG;27;CLE;10;10;38.2;10.;22.;0.476;02.;08.;0.354;07.;14.;0.545;0.54;05.;06.;0.815;0.6;04.;05.;04.;01.;0.3;02.;02.;29.
135;Evan Mobley;PF;22;CLE;12;12;35.2;06.;12.;0.555;0.4;01.;0.278;06.;10.;0.594;0.572;02.;3;0.694;02.;06.;09.;02.;0.8;02.;01.;02.;16
136;Wendell Moore Jr.;SG;22;MIN;6;0;3;0.5;01.;0.429;0.2;0.7;0.25;0.3;0.5;0.667;0.5;0;0;0;0;0.3;0.3;0.3;0.2;0;0.2;0.5;01.
137;Marcus Morris;PF;34;CLE;9;1;15.;02.;05.;0.458;1;02.;0.391;01.;02.;0.52;0.552;0.2;0.3;0.667;0.2;02.;02.;0.3;0.4;0;0.3;0.9;06.
138;Markieff Morris;PF;34;DAL;1;0;12;1;5;0.2;1;3;0.333;0;2;0;0.3;0;0;0;0;4;4;0;0;0;1;1;3
139;Monte Morris;PG;28;MIN;9;0;07.;1;03.;0.3;0.1;01.;0.071;0.9;01.;0.5;0.317;0.2;0.2;1;0.1;0.6;0.7;1;0.2;0.1;0;0.7;02.
140;Trey Murphy III;SF;23;NOP;4;4;42;04.;12;0.375;02.;07.;0.333;2;04.;0.444;0.479;0;0;0;0.8;05.;06.;02.;01.;01.;2;3;11.
141;Jamal Murray;PG;26;DEN;12;12;38.5;08.;20.;0.402;01.;06.;0.315;06.;14.;0.438;0.448;2;02.;0.923;0.8;03.;04.;05.;0.8;0.5;02.;02.;20.
142;Svi Mykhailiuk;SF;26;BOS;8;0;4;0.4;01.;0.25;0.3;01.;0.222;0.1;0.4;0.333;0.333;0;0;0;0.1;0.5;0.6;0.1;0.1;0;0.3;0.4;1
143;Larry Nance Jr.;C;31;NOP;4;0;21;02.;04.;0.588;0.3;1;0.25;02.;03.;0.692;0.618;1;01.;0.667;03.;04.;08.;01.;0.5;0;01.;02.;06.
144;Andrew Nembhard;PG;24;IND;17;17;32.6;6;10.;0.56;01.;03.;0.483;04.;07.;0.598;0.64;01.;01.;0.769;0.8;02.;03.;05.;0.4;0.2;01.;03.;14.
145;Aaron Nesmith;SF;24;IND;17;17;32.9;03.;08.;0.433;01.;04.;0.278;02.;03.;0.629;0.511;2;02.;0.919;01.;03.;04.;02.;0.6;0.5;01.;03.;10.
146;Georges Niang;PF;30;CLE;10;0;12.;0.9;04.;0.22;0.3;02.;0.13;0.6;01.;0.333;0.256;0.7;0.8;0.875;0.3;0.9;01.;0.4;0.4;0.2;0.7;01.;02.
147;Zeke Nnaji;PF;23;DEN;3;0;04.;0.7;1;0.667;0;0;0;0.7;1;0.667;0.667;0.3;0.7;0.5;0.7;0;0.7;0;0;0.3;0.7;0.3;01.
148;Jusuf Nurki?;C;29;PHO;4;4;26;03.;06.;0.5;0;0.5;0;03.;6;0.542;0.5;01.;02.;0.455;03.;5;08.;02.;01.;01.;01.;03.;07.
149;Royce O'Neale;SF;30;PHO;4;2;26;01.;05.;0.318;01.;04.;0.333;0.3;1;0.25;0.455;0;0;0;01.;03.;04.;1;0.3;0;0.5;02.;5
150;Chuma Okeke;SF;25;ORL;2;0;5;1;01.;0.667;0.5;1;0.5;0.5;0.5;1;0.833;0.5;0.5;1;0;0;0;0.5;0;0;0;0;3
